id,text,E,S,G,non_ESG
24,Wells Fargo’s top priority is to strengthen our company by building an appropriate risk and control infrastructure.,0,0,1,0
25,We do what is right: We act with unwavering standards of honesty and integrity.,0,0,1,0
26,"RES has a strong focus on safety and ESG (Environment, Social, Governance), and provides a complete range of services for renewables projects – from development and design, through construction and engineering, to financial, technical and commercial asset management services, and operations and maintenance services.",0,0,0,1
27,"In May, the [COMPANY] hosted a virtual education session to help employees understand the long and complicated history of facial coverings in Asia and discussed the rise in Asian discrimination in the United States during the COVID-19 pandemic.",0,1,0,0
28,I am pleased to report IC continues to achieve excellence in safety performance finishing [YEAR] with no lost time accidents.,0,1,0,0
29,"To ensure good corporate governance, we apply nationally and internationally recognised standards.",0,0,0,1
30,"Clearly documented processes are in place to ensure diversity and inclusion is embedded in the culture of the workplace and that we comply with statutory and regulatory requirements in the local labour market; provide equality of opportunity for all who apply for and perform work for M&G plc irrespective of sex, race, age, ethnic origin, educational, social and cultural background, marital or civil partnership status, religion or belief, sexual orientation or disability; and allow for reasonable adjustments to support those with special requirements.",0,0,0,1
31,The head of the SHES department is appointed by the top management of the company and reports to the CEO and is responsible for managing all aspects of environmental management.,1,0,1,0
32,[COMPANY] is reimbursed for expenses incurred in the execution of its management duties and the Company receives a per acre management fee.,0,0,0,1
33,"To ensure that the Directors are familiar with the Company’s latest operations for decision-making, the Company arranges for key financial data and operational data to be provided to the Directors on a monthly basis.",0,0,0,1
34,"It focuses on compensation and benefits, work-life balance, future career opportunities, health and safety culture, and skills development.",0,0,0,1
35,"We manage these risks through a Health and Safety Management System, based on OHS18001.",0,1,1,0
36,Working closely with renowned ambassadors is a way to attract and retain customers and heighten awareness of what we’re doing.,0,1,0,0
37,"Primary mechanisms for stakeholder engagement: > business contracts and cooperation agreements; > business meetings and presentations; > corporate communications system; > public hearings; > joint working groups; > hotlines for employees and customers; > surveys and studies on the opinions of employees, consumers and local communities; > membership in public or expert associations; > conferences and roundtables; > corporate reporting.",0,0,1,0
38,"ESG (Environmental, Social and Governance) risks and climate change risk Sustainability, a term referring to the ability to avoid harming the environment and communities, in order to support a medium/long-term economic, social and environmental balance, is a factor of significant, increasing importance for society as a whole.",0,0,0,1
39,Environmental legislation [COMPANY] is subject to significant environmental legal regulations in respect of its exploration and evaluation activities in South Africa.,0,0,0,1
40,"Building on this plan, CAPREIT has also introduced the Wellness Spending Account (“WSA”), a mechanism through which employees can be reimbursed up to $ and wellness.",0,1,0,0
41,"Thursday’s Pizza-Making Master Class, hosted by Executive Chef Enzo Febbraro of Allegro, welcomed Wynn employees as family into the kitchen to make their own pizzas from scratch.",0,1,0,0
42,"The Original Shareholders and the Company agree that the investors shall have the right to conduct a due diligence review of the financial, asset and operating condition of the Company at any time prior to the execution of this Agreement.",0,0,1,0
43,"The development of the WACC requires estimates of an equity rate of return and a debt rate of return, which are specific to the industry in which the reporting unit operates.",0,0,0,1
44,In supply chain sustainability committee delivered improvements to suppliers’ compliance with our requirements through improved supplier agreements and supplier selection questionnaires and evaluations.,0,0,1,0
45,We are confident that the globally and it will continue as our platform for supporting community involvement.,0,1,0,0
46,"We have audited the financial statements, included within the Report and Accounts comprise: the Consolidated Statement of Financial Position as at 31 December [YEAR]; the Consolidated Income Statement, the Consolidated Statement of Comprehensive Income, the Consolidated Statement of Changes in Equity and the Consolidated Cash Flow Statement for the year then ended; and the notes to the financial statements, which include a description of significant accounting policies.",0,0,0,1
47,"We have introduced the practice of carrying out Life Cycle Assessments (LCA), which gauge a product’s total environmental impacts from the product development phase and consider the product’s contribution to a socio-economic system with sound material-cycles, to preventing global warming, to eliminating hazardous chemical releases.",1,0,1,0
48,"Our on-site waste management department is responsible for the program and aims to maximize recycling and re-use, and minimize the volumes of waste transported off-site for disposal.",0,0,0,1
49,"(i) Upon the termination of the Participant’s employment or other service relationship with the Company or an Affiliate (A) by the Company or such Affiliate without “Cause” (as defined in the Employment Agreement) (and not due to death, Disability or nonrenewal of the term of the Employment Agreement) or (B) by the Participant for “Good Reason” (as defined in the Employment Agreement), in each case, that occurs prior to the Performance Period End Date, then, provided that the Participant executes within the time provided to do so (and does not revoke within any time provided to do so) a release of claims in a form acceptable to the Committee, a number of PSUs equal to deemed Earned PSUs and the Participant shall be deemed to have satisfied the Service Requirement with respect to such Earned PSUs as of the date of termination (or, if such termination occurs during the Protection Period, as of the later of the date of a Change in Control or the date of such termination).",0,0,0,1
50,"Please refer to Note [YEAR], for a discussion of the significant accounting policies.",0,0,1,0
51,SaaS arrangements are service contracts providing the Group with the right to access the cloud provider’s application over the contract period.,0,0,0,1
52,Association - Page Code of Ethics - Page 11 Human Rights Policy Statement - Page 1 [YEAR] ESG Report - Human Rights - Page 50 Principle 4 Businesses should uphold the elimination of all forms of forced and compulsory labor.,0,1,1,0
53,"We believe diversity is a competitive advantage and through initiatives established in our recruiting strategy and documented in our Affirmative Action Plan, we expanded our recruiting efforts in plan to continue doing so on an ongoing basis.",0,0,0,1
54,"While a majority of eye-care professionals’ offices returned to in-person appointments in the second half of period of time due to logistical issues or safety concerns, resulting in fewer new diagnoses or prescriptions as the COVID-19 pandemic continues to progress.",0,1,0,0
55,"We are pleased to share our second annual Corporate Social Responsibility (CSR) report, which summarizes our triple bottom line performance for our [YEAR] fiscal year.",0,1,1,0
56,The group and tax equalization agreement requires Lenzing AG to pay a tax allocation equal to the corporate income tax attributable to the taxable profit of the company and the subsidiaries included in the tax group.,0,1,1,0
57,The project is designed to minimise the surface footprint while still ensuring that the resource base is efficiently produced.,1,0,0,0
58,to e m is si on s m an ag em en t EXTERNAL AUDITING OF OUR DISCLOSURE DATA Commitment to verification of our scope intensity through an external pre-assurance audit.,0,0,1,0
59,"For more information on our commitment to reducing energy consumption from our business operations, please see our Environmental Responsibility Policy.",0,0,0,1
60,"The SRSP asks suppliers to identify all diamonds supplied to Signet in any of four diamond categories: ◆ Hygiene, health and safety ◆ Waste management ◆ Child and young labor ◆ Working hours and wages ◆ Labor practices, including forced labor, worker representation, disciplinary practices and discrimination.",0,0,0,1
61,"Strengthening safety culture was a key priority during the year, with leadership-driven safety communications, ongoing safe work practice communication, dedicated projects for re-engineering higher risk tasks and a refreshed core compliance assurance program driving considerable improvements.",0,1,1,0
62,"Supplier certification model based on quality, occupational safety, environmental management and information security criteria.",0,0,0,1
63,"Experience on various committees, including the Audit and ESG Committee.",0,1,1,0
64,"And much of that rubber comes from Southeast Asia, including areas along the Mekong River where unsustainable harvesting practices can lead to deforestation and where there is a significant risk of human rights violations.",0,0,0,1
65,"This is why we have defined and adopted a sustainability governance model and made the highest internal governance body, the FS Italiane board of directors, accountable for it.",0,0,1,0
66,These Monday morning communications provide an update on the activities of the CEO and offer a commentary on wider corporate events – the intention is that all of our employees understand the Group’s business and have an awareness of the Plc Board’s activities.,0,1,1,0
67,"Furthermore, all suppliers and business partners that are to work with Arjo are required to sign and follow a customized Code of Conduct.",0,1,1,0
68,All these suppliers are now assessed according to independent human rights indices and those with the highest risk exposure are prioritised for enhanced due diligence.,0,1,1,0
69,"Personnel Forum appoints the Group Working Committee, which is responsible for the ongoing cooperation between management and employees.",0,0,1,0
70,"reduce signals passed at danger, such as our participation in the Rail Industry Safety and Standards Board’s signals passed at danger working group.",0,1,0,0
71,"This has resulted in increased wage costs to both retain and recruit, resulting in near-term pressure on labor margins and operating expenses.",0,1,0,0
72,Factories are expected to cooperate fully with us and our auditors and to provide access to facilities and documents.,0,1,0,0
73,"including Key Management Personnel, as part of their remuneration.",0,0,1,0
74,"For listed equity and corporate bond exposures, we use the MSCI Climate Value-at-Risk model to assess transition risks and physical risks under different climate scenarios.",0,0,0,1
75,Challenges with logistics and supply chain have been managed by dedicated teams who have reported on a regular basis to the management team and to the Board.,0,0,0,1
76,"We are also committed to continuous improvement in the ethical sourcing of products intended for sale in our businesses, and as part of our ongoing considerations regarding animal welfare, we incorporated information about our fur practices into our social compliance training in [YEAR].",0,0,0,1
77,"None of the failures identified in the control environment by Internal Audit or any of the recommendations relating to individual audits represented a systemic underlying issue, nonetheless an assessment of the issues identified have resulted in a number of recommendations for improvement, including refreshing both the procurement and inventory policies, strengthening the IT general controls, completing a thematic audit in the SHE process and defining a plan for enhancing data protection controls.",0,0,0,1
78,In out an extensive risk assessment as part of eval uating structures and requirements for fulfilling its EU- mandated sustainability reporting obliga tions.,0,0,0,1
79,Some contracts for the sale of goods provide customers with a right of return and rebates.,0,0,0,1
80,"[COMPANY] reserves the right to impose other requirements on Participant’s participation in the Plan, on the Award and on any Shares to be issued upon settlement of the Award, to the extent the Company determines it is necessary or advisable for legal or administrative reasons.",0,0,1,0
81,Effective January consolidated its organizational structure and implemented executive leadership changes to better leverage its go-to-market strategy across its brand portfolio and to drive greater operational efficiency across the organization.,0,0,0,1
82,Management oversight of data security is led by our Data Protection Officer and managed by our Chief Information Security Officer (CISO).,0,1,1,0
83,"The Policy takes into account best practices and is harmonized with the corporate culture and what is provided in the Articles of Association, the Internal Rules of Operation and the Greek Code of Corporate Governance to which the Company is subject, is clear and sufficiently documented and governed by the principles of transparency and proportionality while at the same time promoting diversity, meritocracy and efficiency during the election and during the term of the BoD members.",0,0,0,1
84,"As a result, increases in the cost of capital available to us, which could result from volatility in the credit markets, downgrades of our credit ratings, our not being in compliance with restrictive covenants under our debt agreements, or our inability to access additional capital to finance acquisitions and capital expenditures through borrowed funds could restrict our ability to grow our business organically or through acquisitions, which could have a material adverse effect on our business, financial condition, or results of operations.",0,0,1,0
85,"Subject to such rules and regulations of the Board of Directors, if any, the Chairman of the meeting shall have the right and authority to prescribe such rules, regulations and procedures and to do all such acts as, in the judgment of such Chairman, are necessary, appropriate or convenient to the proper conduct of the meeting, including without limitation, establishing an agenda or order for business for the meeting, rules and procedures for maintaining order at the meeting and the safety of those present, limitations on participation in such meeting to stockholders of record of the corporation and their duly authorized and constituted proxies and such other persons as the Chairman shall permit, restrictions on entry to the meeting after the time fixed for the commencement thereof, limitations on the time allotted to questions or comments by participants and regulation of the opening and closing of the polls for balloting on matters which are to be voted on by ballot.",0,1,1,0
86,"In launched a materiality assessment, a survey that provided us with a deeper understanding of how our stakeholders viewed the importance of different Environmental, Social and Governance (ESG) factors.",0,0,0,1
87,"https://www.mandgplc.com/sustainability/external-assurance Climate targets and commitments As an asset manager we have committed to achieve carbon net zero investment portfolios by [YEAR], across our total assets under management, and to align with keeping global warming to 1.5°C.",0,0,0,1
88,"EACH COMMUNITY VOLUNTEERISM We encourage Humana employees to give back to their local communities, contributing to their well-being and connecting with their sense of purpose.",0,1,0,0
89,Management’s Discussion and Analysis of Financial Condition and Results of Operations 7A. Quantitative and Qualitative Disclosures About Market Risk 82 8.,0,0,1,0
90,"In addition to the several community events held in the two major cities of Yokohama and Kobe, there were a series of digital initiatives and on-site events that attracted a number of people to participate.",0,1,0,0
91,Certain physical commodity contracts are deemed to be derivative financial instruments for accounting purposes.,0,0,1,0
92,Particular focus is on North America for talent identification (pipeline) and strengthening performance-led culture.,0,1,1,0
93,accidents at our La India mine from accident frequency of zero at our Lapa mine in [YEAR] and [YEAR].,0,1,0,0
94,The two right-of-way grants are presently being challenged in federal court.,0,0,1,0
95,"The Dedicated Occupational Safety and Health Management Unit To better provide immediate medical assistance and attend to worker health, we engaged 20 full-time nurses and contracted 22 physicians in [YEAR] for this specific purpose.",0,0,0,1
96,"Nevertheless, under equal commercial terms, EDPR chooses local suppliers in order to enhance the socio-economic sustainability of the where it is present.",0,1,0,0
97,"For example, through a partnership with charity Camara Education, we donated $to e-learning centres for 29,358 disadvantaged students in developing countries, including Kenya, Ethiopia and Tanzania (any material that cannot be refurbished is responsibly recycled).",0,1,0,0
98,Workplace safety doesn’t happen in a vacuum; it is the result of appropriate risk and process control over every activity our employees engage in.,0,1,1,0
99,"We employ a team of service coaches whose function is to provide consistent, hands-on training and education to our managers and service staff in our restaurants for the purpose of reinforcing service quality and consistency, team work and staff attentiveness and manage interaction in the dining room.",0,1,0,0
100,"Recycled Source 99.1% Traceable For many years, we have focused on the traceability of our precious metals and have been transparent about our sourcing practices in our sustainability reporting.",0,0,0,1
101,"In the Volyncement plant, process water is used from the Ustia river while the drainage water in the quarry is used for production.",1,0,0,0
102,"Health and Safety 	We invest in programs and policies to help ensure thehealth, safety and wellbeing of our employees andtheir families.",0,1,0,0
103,"We will continue to work on creating a leading fiduciary asset manager with a clear performance-driven culture, with entrepreneurship and collaboration across its global platform.",0,0,0,1
104,"	 U.S. Business Leadership Network (USBLN) http://shttp://www.nielsen.com/us/en/about-us/supplier-diversity.html 20 21 In [YEAR], we plan to launch a Supplier Summit to recognize internal and external supporters of supplier diversity and sustainability and connect our diverse suppliers with key internal buyers to create additional business opportunities.",0,0,0,1
105,"Based on six-month data on 52 of these subjects, in January [YEAR], we submitted to the FDA an interim safety report as a supplement to our IDE.",0,1,0,0
106,"The costs of compliance with environmental regulatory requirements, defending against environmental claims or remediation of any contaminated property could materially adversely affect our business, operating results and cash available for distribution to stockholders.",0,0,0,1
107,"Tricon’s activities are also guided by Environmental, Social and Governance (“ESG”) factors, as outlined in our inaugural ESG roadmap, published in January [YEAR].",0,0,0,1
108,Current tax assets and tax liabilities for the current and earlier period are measured at the amount expected to be refunded by the tax authority/paid to the tax authority.,0,0,1,0
109,We know that P&G employees believe in the personal and business value of this PVP foundation — our PVPs are consistently cited in our annual employee survey as the Number 1 aspect of our culture that employees would not change.,0,0,0,1
110,"The Andersons has made progress in the way we measure our Environmental, Social, and Governance programs since we first published our sustainability review in [YEAR].",0,0,0,1
111,"Continue with the implementation of ISO Integrated Management System for [YEAR] which improves upon the previous period Local Communities: Integrate our business in the community by understanding needs and listening to concerns, while spreading the economic benefit by: 1.",0,0,0,1
112,Gender Male Male Male Female Female Member of the Board since AGM).,0,1,0,0
113,"Changing culture towards security and resilience in OMV Petrom The Security and Resilience (S&R) Department is committed to foster the S&R culture within the organization, to increase awareness on S&R topics and principles among our employees.",0,1,1,0
114,"Our commitment to ESG is helping to frame our vision of Corporate Responsibility, and Pebblebrook aspires to be a leader on all fronts among lodging REITs.",0,1,1,0
115,"We are focused on areas where we believe we are uniquely qualified to make measurable social and human impact, based on our mission, geographic locations, and core competencies.",0,1,0,0
116,"Interactive forums with managers and leaders helps create awareness about career streams and addresses the employees' need for clarity on various career streams, units and job opportunities.",0,1,0,0
117,"A new, global learning management system forms the basis for the digital education strategy, which relies on e-learning and remote training.",0,1,1,0
118,A delegation of the Remuneration Committee of the Supervisory Board had engagement meetings with a broad group of Van Lanschot Kempen’s shareholders and other stakeholders to discuss the consequences of SRD II on the company’s remuneration policy for the Statutory and Supervisory Boards.,0,0,1,0
119,Our commitment to safety at FedEx Express goes hand in hand with our commitment to Quality Driven Management.,0,0,0,1
120,"The Code of Conduct contains a section on employment policies, and more specifically on discrimination and harassment and a number of employees have received awareness training in this regard.",0,1,1,0
121,"Occupational health and safety (OHS) goals: Minimize risks and prevent threats of accidents and injuries to the workforce wherever achievable given the Company’s current capabilities and resources; Comply with Russian OHS laws, aim to meet relevant international standards and best practices; Continuously improve and enhance the OHS management system based on control and monitoring results, as well as routine audits and regular reviews of the system’s effectiveness; Create comfortable working conditions aimed at reducing the occupational diseases rate and the number of work days lost; Ensure that the management bodies, employees, and emergency rescue teams are ready to contain and respond to potential accidents, fires, and emergencies.",0,1,1,0
122,The system’s core components have already been in use globally since August [YEAR] with further modules for talent and performance management as well as for supporting HR development to follow in [YEAR].,0,1,1,0
123,"Cross-disciplinary training: training activities intended to develop cross-disciplinary skills for several company roles, linked to the approaches and behaviour that accompany the exercising of technical and/or managerial skills in line with corporate strategies and values.",0,1,1,0
124,"For some, ‘community investment’ is characterised by philanthropic giving with the expectation of little in return, whilst others use such programmes to attain commercial advantage or create a social licence to operate.",0,1,0,0
125,In EMEA we ran a Supplier Round Table event in well-being in the Workplace.,0,1,0,0
126,"And we have come together to have important, frank discussions about race and equality, celebrating our differences while challenging each other to make further progress in advancing our own culture of inclusion while addressing the systemic inequities faced by people of color.",0,0,0,1
127,"BHGE’s People, Planet and Principles framework guides our responsibility to sustainable operations and enables us to accomplish our business priorities.",0,0,0,1
128,Corporate Responsibility Report lines' was completed; a project for which the Company has received various recognitions since it was rolled out in [YEAR].,0,0,0,1
129,"www.anglogoldashanti.com/whistle/ https://thevault.exchange/?get_group_doc=143/1501583010-HumanrightsPolicyStatement.pdf http://www.aga-reports.com/19/sr/stories/group-responsible-sourcing http://www.aga-reports.com/19/respect#sdgs http://www.aga-reports.com/19/respect#tables T he human resources discipl ine in the areas of ta lent management, ski l ls development and employee relat ions is evolv ing.",0,1,1,0
130,"CityDesign is a systems-based approach to developing dynamic urban places rich in character, community, and livability.",0,1,0,0
131,We have combined certain classes of instruments together as the nature of the inputs is similar.,1,0,0,0
132,"Our Procurement and Supply Chain Management Policy, established in September with the following foundational principles: ■ Develop inclusive supplier relationships that promote small business participation, embrace diversity, practice corporate social responsibility, integrate sustainability and promote a transition toward business models that incorporate a low-carbon economy, clean energy, sustainable transport, sustainable agriculture, and commitment to the environment.",0,0,0,1
133,Strategic evaluation of funding requests and basic impact monitoring are in place to ensure the integrity of our community outreach.,0,1,1,0
134,Strategy NEXT reviews its Company safety statement and safety objectives every three years; these have been revised and updated for [YEAR].,0,1,0,0
135,We worked with the Chicago Police Department and community groups to develop new crime prevention programs.,0,1,0,0
136,"Social Compliance At J.Crew we believe that fair and decent working conditions, the freedom of opinion and expression and an adequate standard of living are basic human rights.",0,0,0,1
137,Fortune [YEAR] ESG: metrics for renewable energy consumption and scope 1 and 2 is for domestic (U.S.) operations that we have operational control under The Climate Registry General Reporting Protocol.,0,0,0,1
138,our major projects implemented a reward system for recordable injury-free periods that resulted in money being donated to charities.,0,1,0,0
139,"During the meeting, the parties signed a framework agreement for cooperation on small-scale LNG.",0,0,0,1
140,"At the ""Friendship Concert"" sponsored by the SUBARU Community Exchange Association, customers bring in towels, soaps and other daily necessities for donations to the Welfare Council in the region.",0,1,0,0
141,During its first year of operation the system was used to control lighting.,0,0,0,1
142,[COMPANY] recognises the opportunity of differentiation and value creation through superior product quality and the highest level of product conformity.,0,1,0,0
143,"In line with our core values of authenticity and accountability, we have created our own Product Stewardship Council, a cross-functional group consisting of colleagues from sustainability, regulatory affairs, product safety, legal, engineering, government relations, corporate communications, and our strategic business units.",0,1,1,0
144,"In terms of integrity, Volkswagen aims to become the role model for a modern, transparent and successful enterprise.",0,0,1,0
145,"We have identified waste generation as one of the most significant environmental aspects that we need to manage, because we handle waste that is classified as hazardous, such as lead acid batteries, and mainly waste electrical and electronic equipment (WEEE).",0,0,0,1
146,"Three lines of defence We operate a three lines of defence model across the group to support governance and risk management: First line Senior management, business operations and support functions are responsible for managing risks, by developing and maintaining effective internal controls to mitigate risk in line with risk appetite.",0,0,0,1
147,"[COMPANY]’s ability to meet the financial covenants or requirements in its credit facility may be affected by events beyond our control, and the Company may not be able to satisfy such covenants and requirements.",0,0,1,0
148,"Our sources of funds have consisted principally of cash flow from operations and debt, including our credit facilities (subject to continued compliance with the financial covenants and representations).",0,0,0,1
149,"There are no exchange control regulations or currency restrictions in the Cayman Islands. Payments of dividends and capital in respect of the shares will not be subject to taxation in the Cayman Islands and no withholding will be required on the payment of a dividend or capital to any holder of the ordinary shares, nor will gains derived from the disposal of the shares be subject to Cayman Islands income or corporation tax.",0,0,1,0
150,"Our operations field staff are highly trained in safety topics relevant to their work, including working at heights, working with high and medium voltages, performing rescues, as well as first aid and CPR.",0,1,0,0
151,That is why on the customer service pages of our corporate site we recommend lowering the temperature to save energy and also provide other tips on caring for clothes in the best way for the environment.,0,0,0,1
152,"The contracts may also include incentives for various performance criteria, including quality, timeliness, ingenuity, safety and cost-effectiveness.",0,1,0,0
153,Beach uses a structured framework for capital allocation decisions.,0,0,1,0
154,"The AD ESA has a one year by notice by the executive; or terminated by either party on 3 months-notice or other causes (breach of duty, incapacity and insolvency).",0,0,0,1
155,Short-Term Incentives (STI) Executive Officers and senior management have the ability to earn STIs depending on the accountabilities of respective roles and their impact on the Company’s performance.,0,0,1,0
156,"In training to its employees, consisting of training for blue collar workers, technicians and field engineers, occupational health and safety, anti-corruption, Legislative Decree 231/[YEAR], cyber security and privacy, soft skills and professional development.",0,1,1,0
157,"It assigns accountability for risk management to every Business Unit, based on the risks they encounter as part of their day-to-day operations.",0,1,1,0
158,"NJNG is responsible for the remedial cleanup of certain former MGP sites, dating back to gas operations in the late and early 1900s, which contain contaminated residues from former gas manufacturing operations.",1,0,0,0
159,"While the outcome of these disputes, claims, liens and litigation matters cannot be predicted with certainty, after consulting with legal counsel, management does not believe that the outcome of these matters will have a material adverse effect on the Company's combined financial position, results of operations or cash flows.",0,0,1,0
160,To mark the event in professional development and women’s empowerment initiatives directly from the point of view of the women impacted.,0,1,0,0
161,"of the income statement, which means that the figures include internal transactions.",0,0,1,0
162,"Federal civil false claims laws and civil monetary penalty laws, which prohibit, individuals or entities from, among other things, knowingly presenting, or causing to be presented, claims for payment of government funds, or other third-party payors that are false or fraudulent.",0,1,0,0
163,Customer demand for a fast and reliable broadband connection is also expected to lead to growth in broadband revenues of around 3 % for the next two years.,0,0,0,1
164,Contractor Safety Management The AES Safety Beliefs and expectations apply equally to our contractors.,0,1,1,0
165,"In line with the Equal Opportunity Policy, our selection and recruitment procedure follows specific steps.",0,1,1,0
166,"Given the important role our integrated circuits play in managing the power supply of more than a billion consumer end-products, we place significant emphasis on ensuring they do not pose any health and safety risks to end-users.",0,1,0,0
167,"IN ACTION That’s why we created the GeleZAR app to enable people to easily access bite-sized financial education lessons delivered in a fun, gamified way.",0,1,0,0
168,"Everyone working for, or on behalf of, Visa shares a responsibility to follow our Code of Business Conduct and Ethics and work with integrity.",0,0,0,1
169,"The use of all market parameters in Intesa Sanpaolo is subordinated to their certification by the IMI CIB Risk Management Head Office Department, in terms of specific controls (verifying the integrity of data contained on the proprietary platform with respect to the source of contribution), reliability tests (consistency of each single figure with similar or comparable figures) and verification of concrete application means.",0,0,0,1
170,"— Areas of weaker governance present the challenge of addressing potential human rights issues in our operations and supply chain; human rights legislation, such as the UK Modern Slavery Act to highlight the need to identify and address potential risks of child labour, forced or bonded labour, modern slavery, human trafficking and other human rights risks in our supply chain.",1,1,1,1
171,Management must devote attention and resources to integrating the combined company's business practices and operations.,0,0,0,1
172,"For certain office sites where we maintain the Penny Pantry Café as an in-house corporate dining facility, we offered meals as a safe and affordable choice for restaurant-quality food and established a no-contact curbside pickup process to maintain social distancing guidelines.",0,0,0,1
173,It is common practice in the industry to exclude depreciation and amortization as these costs are non-cash and discounted cash flow valuation models used in the industry substitute expectations of future capital spending for these amounts.,0,0,1,0
174,"There are inherent uncertainties to the completeness, accuracy and verifiability of this information as it relates to performance and activities which are beyond the Company’s direct influence and oversight.",0,0,1,0
175,"Our public policy priorities help to advance both our business interests and our environmental, social, and governance (ESG) strategies.",0,0,0,1
176,"Argentine Regulatory Framework in connection with climate change The United Nations Framework Convention on Climate Change (“UNFCCC”), which entered into force on March stabilize of the GHG concentrations in the atmosphere to a level that would prevent dangerous anthropogenic interference with the climate system.",0,0,0,1
177,"The Committee is composed entirely of independent Directors, with some members having significant experience in ESG subject areas.",0,1,0,0
178,Toolbox training on anti-bribery are also carried out for industrial/ general workers.,0,0,1,0
